area,area_bbox,area_convex,area_filled,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,intensity_max,intensity_mean,intensity_min,label,orientation,perimeter,perimeter_crofton,solidity,ERThresh_intersection_percentage,ERThresh_intersection_area,ERThresh_num_intersection_areas
131,252,168,131,21.861839235277145,8.883631552242996,0.9137160155684868,12.914889870235298,1,0.5198412698412699,21.633307652783937,255.0,255.0,255.0,1,1.0762777784590105,56.698484809834994,58.953907103260065,0.7797619047619048,14.50381679389313,19,4
347,630,395,347,35.19834555581517,12.934978867997383,0.9300281590218603,21.019374919894773,1,0.5507936507936508,37.0,255.0,255.0,255.0,2,1.1988312464536373,88.18376618407356,86.28496983777607,0.8784810126582279,13.8328530259366,48,9
89,144,106,89,15.257610324140671,8.175586937993698,0.8443216656236749,10.645107772184812,1,0.6180555555555556,16.492422502470642,255.0,255.0,255.0,3,1.4051443332551299,38.17766952966369,41.75408400071355,0.839622641509434,0.0,0,0
285,572,353,285,29.835650458188322,13.508408991284043,0.8916320870951951,19.04923279949934,1,0.4982517482517482,30.610455730027933,255.0,255.0,255.0,4,0.9571224791216675,85.39087296526012,84.61888873596669,0.8073654390934845,41.05263157894737,117,3
305,496,349,305,29.69803336380611,13.739248085137012,0.8865506311470078,19.706294962377495,1,0.6149193548387096,31.400636936215164,255.0,255.0,255.0,5,1.5028592737202588,77.94112549695429,76.57433755196321,0.8739255014326648,1.9672131147540985,6,2
52,90,68,52,10.211447271941422,7.988435516971376,0.6228993475307878,8.136857890256438,1,0.5777777777777777,12.041594578792296,255.0,255.0,255.0,6,-0.7749403556889678,28.692388155425117,33.939570612837734,0.7647058823529411,38.46153846153847,20,4
797,1696,1392,809,51.18369336606853,33.9445883932713,0.7484497884199197,31.85548488335917,-2,0.4699292452830189,56.64803615307419,255.0,255.0,255.0,7,0.30224851436330835,277.5573952066306,267.9148966568568,0.5725574712643678,58.8456712672522,469,10
36,60,46,36,8.99209392273093,5.52158726247545,0.7892678199289466,6.770275002573076,1,0.6,10.44030650891055,255.0,255.0,255.0,8,1.3313541686870383,21.692388155425117,26.125057224961925,0.782608695652174,19.444444444444446,7,2
790,2640,1348,790,59.823543184391134,29.82781187423876,0.8668341747032682,31.71528401797434,0,0.29924242424242425,64.1404708432983,255.0,255.0,255.0,9,0.9012359328113831,219.48023074035524,213.90341633010905,0.586053412462908,41.64556962025316,329,12
95,170,117,95,16.1628898258499,8.133498033526006,0.8641580267135605,10.998079684646791,1,0.5588235294117647,17.26267650163207,255.0,255.0,255.0,10,-0.09475902914797764,40.59188309203678,43.65020289865059,0.811965811965812,45.26315789473684,43,2
119,270,163,119,20.279622124646956,8.602315481519753,0.9055754632670759,12.309163489997376,1,0.44074074074074077,18.973665961010276,255.0,255.0,255.0,11,0.5756111397040368,51.45584412271571,52.25011444992385,0.7300613496932515,68.0672268907563,81,1
130,270,168,130,20.947275885734122,9.599348465135922,0.8888169624202057,12.865501965161373,1,0.48148148148148145,19.72308292331602,255.0,255.0,255.0,12,-0.5465130386480986,58.04163056034262,57.70843334760731,0.7738095238095238,79.23076923076923,103,1
16,30,21,16,5.710150877869438,4.140552735078601,0.6886210283191884,4.51351666838205,1,0.5333333333333333,6.082762530298219,255.0,255.0,255.0,13,0.19926122283321013,13.035533905932738,16.96978530641887,0.7619047619047619,50.0,8,2
24,48,29,24,9.080936353700372,3.664080215952137,0.9149834131227864,5.527906391541368,1,0.5,8.94427190999916,255.0,255.0,255.0,14,-0.5932023665644177,19.27817459305202,21.547421265690396,0.8275862068965517,54.166666666666664,13,1
25,42,30,25,6.327173120281576,5.407446745552499,0.5192232313315946,5.641895835477563,1,0.5952380952380952,7.0710678118654755,255.0,255.0,255.0,15,0.37927948606911654,16.27817459305202,20.20666273502315,0.8333333333333334,96.0,24,1
92,176,116,92,16.985498518369106,7.957200304116671,0.8834792859815508,10.823032759612019,1,0.5227272727272727,17.46424919657298,255.0,255.0,255.0,16,0.3349608417352584,44.21320343559643,44.990961429317835,0.7931034482758621,40.21739130434783,37,3
